time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-06T21:24:02.780Z,2.6212,127.0804,35,4.4,mb,,151,1.859,0.84,us,us2000j0wl,2019-01-07T02:06:23.040Z,"142km NW of Tobelo, Indonesia",earthquake,10.4,2,0.112,23,reviewed,us,us
2019-01-06T21:07:31.020Z,2.4933,126.9728,35,4.5,mb,,158,1.754,0.74,us,us2000j0wi,2019-01-07T01:55:38.040Z,"143km NW of Tobelo, Indonesia",earthquake,8.9,2,0.118,21,reviewed,us,us
2019-01-06T20:31:42.130Z,2.3404,127.2303,60,4.6,mb,,61,1.564,1,us,us2000j0wb,2019-01-06T21:11:22.040Z,"109km NW of Tobelo, Indonesia",earthquake,9.3,2,0.097,32,reviewed,us,us
2019-01-06T20:25:36.050Z,-19.5821,-69.5005,106.46,4.8,mb,,99,0.301,1.03,us,us2000j0w5,2019-01-06T21:55:19.934Z,"97km NE of Iquique, Chile",earthquake,3.6,6.4,0.097,33,reviewed,us,us
2019-01-06T20:23:54.160Z,2.2944,126.7762,60,4.5,mb,,117,1.623,0.88,us,us2000j0w6,2019-01-06T21:07:42.040Z,"150km WNW of Tobelo, Indonesia",earthquake,9.5,2,0.099,30,reviewed,us,us
2019-01-06T20:06:29.190Z,2.3899,126.8147,60,4.9,mb,,107,1.699,1.05,us,us2000j0vz,2019-01-06T20:26:58.040Z,"151km WNW of Tobelo, Indonesia",earthquake,7.9,2,0.072,61,reviewed,us,us
2019-01-06T19:45:18.500Z,36.5904,70.0305,224.63,4.3,mb,,85,1.605,0.61,us,us2000j0vq,2019-01-06T20:57:40.040Z,"15km E of Farkhar, Afghanistan",earthquake,8.3,9.1,0.154,12,reviewed,us,us
2019-01-06T19:16:02.860Z,2.3213,126.6593,44.15,5,mb,,106,1.693,0.63,us,us2000j0vf,2019-01-06T19:45:55.040Z,"163km WNW of Tobelo, Indonesia",earthquake,7.5,5.7,0.064,77,reviewed,us,us
2019-01-06T19:13:36.920Z,17.9125,-68.9323,77,2.62,md,4,249,0.8156,0.16,pr,pr2019006014,2019-01-07T00:09:02.435Z,"57km S of La Romana, Dominican Republic",earthquake,5.43,7.83,0.39,3,reviewed,pr,pr
2019-01-06T18:44:30.690Z,-29.9768,-72.2431,10,4.8,mb,,141,0.871,0.91,us,us2000j0va,2019-01-06T20:53:26.040Z,"86km W of Coquimbo, Chile",earthquake,5.4,1.9,0.247,5,reviewed,us,us
2019-01-06T18:35:36.610Z,2.2814,126.7406,60,4.7,mb,,141,1.624,0.96,us,us2000j0v9,2019-01-06T20:48:44.040Z,"153km WNW of Tobelo, Indonesia",earthquake,9.4,2,0.096,33,reviewed,us,us
2019-01-06T18:25:30.380Z,2.2497,126.8242,60,5.1,mb,,104,1.565,0.96,us,us2000j0v6,2019-01-06T18:38:59.040Z,"143km WNW of Tobelo, Indonesia",earthquake,7.6,2,0.085,45,reviewed,us,us
2019-01-06T18:18:10.340Z,2.2074,126.7412,60,5.1,mb,,78,1.557,0.78,us,us2000j0v3,2019-01-06T18:34:11.040Z,"150km WNW of Tobelo, Indonesia",earthquake,8.5,2,0.071,65,reviewed,us,us
2019-01-06T18:14:34.230Z,2.1727,126.7053,60,4.7,mb,,107,1.54,1.31,us,us2000j0v0,2019-01-06T20:35:10.040Z,"153km WNW of Tobelo, Indonesia",earthquake,8.8,1.9,0.099,31,reviewed,us,us
2019-01-06T18:12:09.580Z,2.3406,126.9467,60,4.4,mb,,146,1.613,1.39,us,us2000j0v4,2019-01-06T20:30:21.040Z,"136km WNW of Tobelo, Indonesia",earthquake,11.2,2,0.114,22,reviewed,us,us
2019-01-06T18:01:44.490Z,2.3393,126.729,60,4.9,mb,,108,1.682,0.91,us,us2000j0ux,2019-01-06T20:16:00.040Z,"157km WNW of Tobelo, Indonesia",earthquake,9.5,2,0.082,46,reviewed,us,us
2019-01-06T17:57:23.960Z,2.2754,126.7468,60,4.7,mb,,115,1.617,1.02,us,us2000j0uv,2019-01-06T20:10:23.040Z,"152km WNW of Tobelo, Indonesia",earthquake,5.2,1.9,0.092,36,reviewed,us,us
2019-01-06T17:27:20.840Z,2.2155,126.7401,60,6.6,mww,,31,1.564,1.17,us,us2000j0uj,2019-01-06T23:14:29.537Z,"151km WNW of Tobelo, Indonesia",earthquake,6.6,1.9,0.04,60,reviewed,us,us
2019-01-06T16:22:31.520Z,39.8519,77.6114,5.26,5,mww,,45,1.819,0.72,us,us2000j0uf,2019-01-06T17:08:42.040Z,"129km E of Arzak, China",earthquake,6.4,3.5,0.071,19,reviewed,us,us
2019-01-06T15:55:11.100Z,54.8374,164.6996,10,4.6,mb,,128,4.011,0.5,us,us2000j0uc,2019-01-06T16:23:47.040Z,"91km WSW of Nikol'skoye, Russia",earthquake,9.4,1.9,0.098,31,reviewed,us,us
2019-01-06T15:51:45.710Z,54.8369,164.615,10,4.6,mb,,156,3.966,0.39,us,us2000j0uh,2019-01-06T17:02:47.040Z,"96km WSW of Nikol'skoye, Russia",earthquake,5.2,1.9,0.111,24,reviewed,us,us
2019-01-06T14:46:35.030Z,23.0991,101.093,15.71,4.2,mb,,113,2.279,0.57,us,us2000j0tz,2019-01-06T15:17:18.040Z,"8km NE of Ning'er, China",earthquake,6.1,5.6,0.215,6,reviewed,us,us
2019-01-06T14:29:25.880Z,34.2024,45.4834,10,4.1,mb,,119,0.933,0.47,us,us2000j0tw,2019-01-06T15:04:16.040Z,"45km SW of Sarpol-e Zahab, Iran",earthquake,6.2,1.9,0.14,14,reviewed,us,us
2019-01-06T14:15:08.070Z,34.065,45.7236,10,4.9,mb,,51,1.049,0.78,us,us2000j0tq,2019-01-07T05:14:33.107Z,"38km NNE of Mandali, Iraq",earthquake,7.2,1.9,0.059,91,reviewed,us,us
2019-01-06T13:51:34.098Z,61.4343,-149.9807,20.3,2.5,ml,,,,0.75,ak,ak019a59q11,2019-01-06T14:12:26.040Z,"6km NW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-06T13:41:58.990Z,34.1192,45.6805,14,5.6,mww,,40,0.995,0.64,us,us2000j0th,2019-01-06T19:18:25.112Z,"41km SSW of Sarpol-e Zahab, Iran",earthquake,5.5,1.8,0.05,39,reviewed,us,us
2019-01-06T11:15:10.900Z,19.444,-67.3048,51,2.92,md,8,261,0.9955,0.35,pr,pr2019006013,2019-01-06T16:10:54.509Z,"107km NNW of San Antonio, Puerto Rico",earthquake,4.36,17.33,0.19,6,reviewed,pr,pr
2019-01-06T11:06:20.510Z,-15.2181,-70.8284,31.27,5,mb,,116,2.689,0.91,us,us2000j0ss,2019-01-06T19:20:19.153Z,"44km SW of Ayaviri, Peru",earthquake,6.5,7.3,0.076,55,reviewed,us,us
2019-01-06T10:38:29.670Z,36.3582,-98.1869,5,2.9,mb_lg,,115,0.624,0.24,us,us2000j0sk,2019-01-07T04:34:44.669Z,"22km SSE of Helena, Oklahoma",earthquake,1.4,1.9,0.068,57,reviewed,us,us
2019-01-06T10:31:01.081Z,61.4236,-149.8858,41.2,2.5,ml,,,,0.72,ak,ak019a3d29d,2019-01-07T04:30:25.076Z,"11km SSE of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-01-06T09:32:35.660Z,19.5095,-65.555,35,3.32,md,13,292,1.3986,0.36,pr,pr2019006011,2019-01-06T10:27:52.040Z,"125km NNE of Vieques, Puerto Rico",earthquake,2.48,21.73,0.23,12,reviewed,pr,pr
