time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magNst,status,locationSource,magSource
,-1.45947,-103.51065,,,,,,,,,,,,,,,,,
,-0.32195,-103.90418,,,,,,,,,,,,,,,,,
,-0.43667,-108.28454,,,,,,,,,,,,,,,,,
,-1.20802,-105.7091,,,,,,,,,,,,,,,,,
,-0.41459,-106.93742,,,,,,,,,,,,,,,,,
,-0.76272,-105.40447,,,,,,,,,,,,,,,,,
,-0.42127,-107.33805,,,,,,,,,,,,,,,,,
,-0.41753,-106.94535,,,,,,,,,,,,,,,,,
,-0.31735,-103.96056,,,,,,,,,,,,,,,,,
,0.03349,-106.94536,,,,,,,,,,,,,,,,,
,-0.12491,-106.66551,,,,,,,,,,,,,,,,,
,-0.41291,-108.23878,,,,,,,,,,,,,,,,,
,-0.447,-108.2764,,,,,,,,,,,,,,,,,
,-1.57426,-103.60207,,,,,,,,,,,,,,,,,
,-0.25363,-106.75101,,,,,,,,,,,,,,,,,
,-0.44423,-107.00183,,,,,,,,,,,,,,,,,
,-1.54141,-103.53354,,,,,,,,,,,,,,,,,
,-0.31838,-103.9537,,,,,,,,,,,,,,,,,
,-0.25023,-103.88583,,,,,,,,,,,,,,,,,
,-0.7012,-105.63993,,,,,,,,,,,,,,,,,
,0.18577,-107.09908,,,,,,,,,,,,,,,,,
,-0.09684,-106.76631,,,,,,,,,,,,,,,,,
,0.03714,-106.95418,,,,,,,,,,,,,,,,,
,-0.42798,-108.19375,,,,,,,,,,,,,,,,,
,-0.40775,-106.9228,,,,,,,,,,,,,,,,,
,-0.4393,-106.98712,,,,,,,,,,,,,,,,,
,0.13223,-107.05618,,,,,,,,,,,,,,,,,
,-0.7801,-105.56535,,,,,,,,,,,,,,,,,
,0.26788,-107.06358,,,,,,,,,,,,,,,,,
,-0.05001,-106.92911,,,,,,,,,,,,,,,,,
,-0.62003,-105.2013,,,,,,,,,,,,,,,,,
,-0.31896,-104.79133,,,,,,,,,,,,,,,,,
,0.01868,-106.9137,,,,,,,,,,,,,,,,,
,-0.21175,-106.41588,,,,,,,,,,,,,,,,,
,-0.42693,-108.17712,,,,,,,,,,,,,,,,,
,0.18375,-107.05984,,,,,,,,,,,,,,,,,
,0.04725,-106.9928,,,,,,,,,,,,,,,,,
,-0.20293,-106.44076,,,,,,,,,,,,,,,,,
,0.01132,-106.95564,,,,,,,,,,,,,,,,,
,-0.28545,-106.3372,,,,,,,,,,,,,,,,,
,-0.30585,-104.77895,,,,,,,,,,,,,,,,,
,0.03915,-106.98268,,,,,,,,,,,,,,,,,
,0.14726,-107.03152,,,,,,,,,,,,,,,,,
,-1.95647,-108.47916,,,,,,,,,,,,,,,,,
,-0.63369,-108.76856,,,,,,,,,,,,,,,,,
,-0.4938,-103.16322,,,,,,,,,,,,,,,,,
,-0.8759,-109.09778,,,,,,,,,,,,,,,,,
,-0.87368,-109.08524,,,,,,,,,,,,,,,,,
,-0.87187,-109.07715,,,,,,,,,,,,,,,,,
,-0.27537,-103.07311,,,,,,,,,,,,,,,,,
,-1.2414,-103.31775,,,,,,,,,,,,,,,,,
,-0.48596,-103.1651,,,,,,,,,,,,,,,,,
,0.30528,-102.81126,,,,,,,,,,,,,,,,,
,-0.63355,-108.75495,,,,,,,,,,,,,,,,,
,-0.95354,-105.6646,,,,,,,,,,,,,,,,,
,-0.54935,-105.86977,,,,,,,,,,,,,,,,,
,-0.5731,-103.615,,,,,,,,,,,,,,,,,
,-0.28827,-103.06771,,,,,,,,,,,,,,,,,
,-1.9607,-108.44121,,,,,,,,,,,,,,,,,
,-0.58294,-108.60938,,,,,,,,,,,,,,,,,
,0.34813,-102.91898,,,,,,,,,,,,,,,,,
,0.02261,-109.23328,,,,,,,,,,,,,,,,,
,-1.95055,-108.45252,,,,,,,,,,,,,,,,,
,-0.54565,-105.87293,,,,,,,,,,,,,,,,,
,-0.12392,-111.40724,,,,,,,,,,,,,,,,,
,0.32287,-110.42894,,,,,,,,,,,,,,,,,
,0.36083,-109.64096,,,,,,,,,,,,,,,,,
,-0.27044,-111.61549,,,,,,,,,,,,,,,,,
,0.36667,-109.64165,,,,,,,,,,,,,,,,,
,-1.43835,-104.17926,,,,,,,,,,,,,,,,,
,-0.20494,-106.43572,,,,,,,,,,,,,,,,,
,0.01734,-104.22062,,,,,,,,,,,,,,,,,
,0.42389,-104.26421,,,,,,,,,,,,,,,,,
,-0.36444,-111.65093,,,,,,,,,,,,,,,,,
,-0.12907,-107.1716,,,,,,,,,,,,,,,,,
,-0.2547,-111.61731,,,,,,,,,,,,,,,,,
,0.4027,-104.21896,,,,,,,,,,,,,,,,,
,-0.3169,-111.65678,,,,,,,,,,,,,,,,,
,0.02875,-107.0696,,,,,,,,,,,,,,,,,
,-0.47412,-108.09725,,,,,,,,,,,,,,,,,
