time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.0033,-81.155899,,,,,,,,,,,,,,,,,,
,-5.0038,-81.1562,,,,,,,,,,,,,,,,,,
,-5.0044,-81.156799,,,,,,,,,,,,,,,,,,
,-5.0045,-81.1569,,,,,,,,,,,,,,,,,,
,-4.9683,-81.154,,,,,,,,,,,,,,,,,,
,-4.9703,-81.1535,,,,,,,,,,,,,,,,,,
,-4.9721,-81.1528,,,,,,,,,,,,,,,,,,
,-4.9737,-81.1522,,,,,,,,,,,,,,,,,,
,-4.9746,-81.1515,,,,,,,,,,,,,,,,,,
,-4.9755,-81.150899,,,,,,,,,,,,,,,,,,
,-4.9764,-81.150399,,,,,,,,,,,,,,,,,,
,-4.9773,-81.149999,,,,,,,,,,,,,,,,,,
,-4.9779,-81.1496,,,,,,,,,,,,,,,,,,
,-4.9787,-81.1492,,,,,,,,,,,,,,,,,,
,-4.979,-81.1488,,,,,,,,,,,,,,,,,,
,-4.9727,-81.178699,,,,,,,,,,,,,,,,,,
,-4.9726,-81.1788,,,,,,,,,,,,,,,,,,
,-4.9726,-81.1789,,,,,,,,,,,,,,,,,,
,-4.9726,-81.178699,,,,,,,,,,,,,,,,,,
,-4.9724,-81.1786,,,,,,,,,,,,,,,,,,
,-4.9724,-81.178299,,,,,,,,,,,,,,,,,,
,-4.9724,-81.1782,,,,,,,,,,,,,,,,,,
,-4.9722,-81.178099,,,,,,,,,,,,,,,,,,
,-4.9721,-81.177599,,,,,,,,,,,,,,,,,,
,-4.9716,-81.1768,,,,,,,,,,,,,,,,,,
,-4.9711,-81.1762,,,,,,,,,,,,,,,,,,
,-4.9704,-81.175799,,,,,,,,,,,,,,,,,,
,-4.9696,-81.175999,,,,,,,,,,,,,,,,,,
,-4.9686,-81.1759,,,,,,,,,,,,,,,,,,
,-4.9674,-81.175599,,,,,,,,,,,,,,,,,,
,-4.9667,-81.175599,,,,,,,,,,,,,,,,,,
,-4.9661,-81.1754,,,,,,,,,,,,,,,,,,
,-5.018472,-81.148611,,,,,,,,,,,,,,,,,,
,-5.017083,-81.1475,,,,,,,,,,,,,,,,,,
,-5.017639,-81.145833,,,,,,,,,,,,,,,,,,
,-5.018194,-81.144167,,,,,,,,,,,,,,,,,,
,-5.01875,-81.142778,,,,,,,,,,,,,,,,,,
,-5.019028,-81.141667,,,,,,,,,,,,,,,,,,
,-5.019306,-81.141389,,,,,,,,,,,,,,,,,,
,-5.019028,-81.140833,,,,,,,,,,,,,,,,,,
,-5.019028,-81.140556,,,,,,,,,,,,,,,,,,
,-5.019306,-81.140278,,,,,,,,,,,,,,,,,,
